Channel Title,Channel Username,ID,Message,Date,Media Path,Sender ID,Views,Forwards,Reply To Message ID,Reactions,Reply Count
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4570,"Sayona Sandwich Grill Maker 
 የሳንዱች፣ስጋ እና የዳቦ መጥበሻ
 2200 watt የሆነ 
 የማይዝ ፓትራ
 በሁለቱም በኩል ሙቀት የሚሰጥ
 ሙቀት መቆጣጠሪያ ቴርሞስታት የተገጠመለት 
 ለአጠቃቀም ቀላል 

                 በ   
           6900


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን።",2024-09-26 11:50:31+00:00,,-1001649695480,4280,2,,"[<telethon.tl.types.ReactionCount object at 0x0000021F5267E810>, <telethon.tl.types.ReactionCount object at 0x0000021F5267E890>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4568,"Saachi Electric Kettle 
 የውሀ ማፍያ ቦይለር 
 1.8ሊትር የሆነ 
 2200W 
 Automatic switch off 
 ውስጡ Stainless steel የሆነ 
  ለአጠቃቀም በጣም ቀላል 

                 በ 
            2700 


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          
                   ሞደርናይዝ ያድርጉ",2024-09-26 03:45:21+00:00,photos\@modernshoppingcenter_4568.jpg,-1001649695480,5914,0,,"[<telethon.tl.types.ReactionCount object at 0x0000021F5267F150>, <telethon.tl.types.ReactionCount object at 0x0000021F5267F1D0>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4564,"Single cup Coffe maker
 በኤሌክትሪክ የሚሰራ የብና ማፍያ
 መጠጫ ና መቅጃ የሚሆን ማግ ከነ ክዳኑ 
 ከማይዝግ ብረት የተሰራ
 ቶሎ የማያቀዘቅዝ እና ለጉዞ የሚሆን ማግ
 ለአጠቃቀም ቀላል 
        
                በ
          2700          


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          
                   ሞደርናይዝ ያድርጉ",2024-09-25 12:29:56+00:00,photos\@modernshoppingcenter_4564.jpg,-1001649695480,7502,11,,"[<telethon.tl.types.ReactionCount object at 0x0000021F5268C250>, <telethon.tl.types.ReactionCount object at 0x0000021F5268C2D0>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4559,"toilet seat cover
 የሽንት ቤት መቀመጫ ከቨር ልብስ
 እንዳይቀዘቅዝ መከላከያ
 በተለይ ለትልልቅ ሰዎች፣ለህፃናት ተመራጭ
ለማፅዳት በጣም ቀላል
በዚፕ የሚዘጋ
  ለአጠቃቀም ቀላል 

       በ
   650 


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          
                   ሞደርናይዝ ያድርጉ",2024-09-25 08:34:27+00:00,,-1001649695480,7272,8,,"[<telethon.tl.types.ReactionCount object at 0x0000021F5268D710>, <telethon.tl.types.ReactionCount object at 0x0000021F5268D790>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4552,"ስመ ገናናዉ Sanford electric pressure cooker
 ዘመናዊ የምግብ ማብሰያ
 ሾርባ፣ አተክልት፣ ወጣወጥ፣ አሮስቶ፣  ሩዝ ፣ገንፎ እና መሰል ከ 10 ዓይነት በላይ ምግበችን ሰዓትና ሙቀት መጥኖ ክሽን አድርጎ ያበስልልዎታል
 ውስጡ non stick የሆነ 
 የሙቀትና የሰዓት መቆጣጠሪያ የተገጠመለት
 ለአጠቃቀም ቀላል 

በተለያየ መጠን የቀረበ 

 12 ሌትር        በ
                    14,500 

  9ሌትር        በ
                   12,500


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን።",2024-09-24 17:46:05+00:00,photos\@modernshoppingcenter_4552.jpg,-1001649695480,8059,9,,"[<telethon.tl.types.ReactionCount object at 0x0000021F5268E510>, <telethon.tl.types.ReactionCount object at 0x0000021F5268E590>, <telethon.tl.types.ReactionCount object at 0x0000021F5268E610>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4549,"salad bowl
 የሰላጣ ማቅረቢያ
 የራሱ መቆንጠሪያ ማንኪያ ያለዉ
 የራሱ ማቅረቢያ ያለዉ
 ከንፁህ ሸክላ የተሰራ
 ማንኪዉና ማቅረቢያዉ ከባምቦ እንጨት የተሰራ
  በነጭና በጥቁር ከለር የቀረበ

         በ
   4000


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          
                   ሞደርናይዝ ያድርጉ",2024-09-24 10:49:14+00:00,photos\@modernshoppingcenter_4549.jpg,-1001649695480,8544,7,,"[<telethon.tl.types.ReactionCount object at 0x0000021F5268F250>, <telethon.tl.types.ReactionCount object at 0x0000021F5268F2D0>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4548,"Electrical Incense Burner
 የኤሌክትሪክ ዕጣን ማጨሻ
 ለቤት፣ ለቢሮና ለፀሎት ቤትዎ  የሚሆኑ 
 ለአጠቃቀም ቀላል 

              በ
        1100 


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን።",2024-09-24 05:44:35+00:00,photos\@modernshoppingcenter_4548.jpg,-1001649695480,9710,5,,"[<telethon.tl.types.ReactionCount object at 0x0000021F5268F810>, <telethon.tl.types.ReactionCount object at 0x0000021F5268F890>, <telethon.tl.types.ReactionCount object at 0x0000021F5268F910>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4545,"የሊጥ ማዉረጃ(ዲስፔንሰር)
 ለፓንኬክ፣ለማፍል፣
ለእንቁላል ወዘተ
 የራሱ መክፈቻና መዝጊያ ያለዉ
 የማይዝግ፣የማይሰበር
  ለአጠቃቀም ቀላል 

       በ
    550 


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ150ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

ለክፍለሀገር ደንበኞቻችን በየመናሐሪያ እንልካለን።

          
                   ሞደርናይዝ ያድርጉ",2024-09-23 11:47:05+00:00,photos\@modernshoppingcenter_4545.jpg,-1001649695480,10518,13,,"[<telethon.tl.types.ReactionCount object at 0x0000021F526A4450>, <telethon.tl.types.ReactionCount object at 0x0000021F526A44D0>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4541,"Multifunctional 3in1electric non Stick Fraying Pan
 3in1 የኤሌክትሪክ መጥበሻ
 በአንድ ጊዜ ሶስት የተለያዪ ነገሮችን መጥበስ የሚችል 
 900watt ሃይል የሚጠቀም
 የማይዝ የማያሳርር ፈጣን የሆነ 
 26cm×42cm ስፋት
 ለማፅዳት እና ለአጠቃቀም ቀላል 
         
           በ
      2500 


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          
                   ሞደርናይዝ ያድርጉ",2024-09-23 08:17:28+00:00,,-1001649695480,11108,11,,"[<telethon.tl.types.ReactionCount object at 0x0000021F526A5410>, <telethon.tl.types.ReactionCount object at 0x0000021F526A5490>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4536,"Mandoline vegetables slicer 
 ድንች፣ ካሮት፣ዝኩኒ፣ በቀላሉ መክተፋ የሚችል 
 በተለያዩ አይነት ቅርፅ ማውጣት የሚችል 
 ጠንካራ አና ለስራ ፍጥነት የሚያመች 
 ለአጠቃቀም ቀላል 

              በ
        1200 


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን።",2024-09-21 16:12:55+00:00,photos\@modernshoppingcenter_4536.jpg,-1001649695480,12699,26,,"[<telethon.tl.types.ReactionCount object at 0x0000021F526A6950>, <telethon.tl.types.ReactionCount object at 0x0000021F526A69D0>]",0
