Channel Title,Channel Username,ID,Message,Date,Media Path,Sender ID,Views,Forwards,Reply To Message ID,Reactions,Reply Count
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4573,,2024-09-26 11:50:31+00:00,,-1001649695480,4288,2,None,None,0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4572,,2024-09-26 11:50:31+00:00,photos\@modernshoppingcenter_4572.jpg,-1001649695480,4280,2,None,None,0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4571,,2024-09-26 11:50:31+00:00,photos\@modernshoppingcenter_4571.jpg,-1001649695480,4279,2,None,None,0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4570,"ቴሌግራም👉t.me/modernshoppingcenter
     ""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

✅ Sayona Sandwich Grill Maker 
✅ የሳንዱች፣ስጋ እና የዳቦ መጥበሻ
✅ 2200 watt የሆነ 
✅ የማይዝ ፓትራ
✅ በሁለቱም በኩል ሙቀት የሚሰጥ
✅ ሙቀት መቆጣጠሪያ ቴርሞስታት የተገጠመለት 
✅ ለአጠቃቀም ቀላል 

                 በ👇   
           💸6900💸

🤳0924743736
🤳0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 👇
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የቴሌግራም አድራሻ ይላኩልን 

t.me/modernshopping1
t.me/modernshopping2 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ""",2024-09-26 11:50:31+00:00,,-1001649695480,4280,2,None,"[<telethon.tl.types.ReactionCount object at 0x0000021F5267E810>, <telethon.tl.types.ReactionCount object at 0x0000021F5267E890>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4569,,2024-09-26 03:45:21+00:00,photos\@modernshoppingcenter_4569.jpg,-1001649695480,5912,0,None,None,0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4568,"ቴሌግራም👉t.me/modernshoppingcenter
     ""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

✅ Saachi Electric Kettle 
✅ የውሀ ማፍያ ቦይለር 
✅ 1.8ሊትር የሆነ 
✅ 2200W 
✅ Automatic switch off 
✅ ውስጡ Stainless steel የሆነ 
✅  ለአጠቃቀም በጣም ቀላል 

                 በ 👇
            💸2700💸 

🤳0924743736
🤳0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 👇
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የቴሌግራም አድራሻ ይላኩልን 

t.me/modernshopping1
t.me/modernshopping2 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ """,2024-09-26 03:45:21+00:00,photos\@modernshoppingcenter_4568.jpg,-1001649695480,5914,0,None,"[<telethon.tl.types.ReactionCount object at 0x0000021F5267F150>, <telethon.tl.types.ReactionCount object at 0x0000021F5267F1D0>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4567,,2024-09-25 12:29:56+00:00,photos\@modernshoppingcenter_4567.jpg,-1001649695480,7525,10,None,None,0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4566,,2024-09-25 12:29:56+00:00,photos\@modernshoppingcenter_4566.jpg,-1001649695480,7533,10,None,None,0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4565,,2024-09-25 12:29:56+00:00,photos\@modernshoppingcenter_4565.jpg,-1001649695480,7546,10,None,None,0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4564,"ቴሌግራም👉t.me/modernshoppingcenter
     ""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

✅ Single cup Coffe maker
✅ በኤሌክትሪክ የሚሰራ የብና ማፍያ
✅ መጠጫ ና መቅጃ የሚሆን ማግ ከነ ክዳኑ 
✅ ከማይዝግ ብረት የተሰራ
✅ ቶሎ የማያቀዘቅዝ እና ለጉዞ የሚሆን ማግ
✅ ለአጠቃቀም ቀላል 
        
                በ👇
          💸2700💸          

🤳0924743736
🤳0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 👇
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የቴሌግራም አድራሻ ይላኩልን 

t.me/modernshopping1
t.me/modernshopping2 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ """,2024-09-25 12:29:56+00:00,photos\@modernshoppingcenter_4564.jpg,-1001649695480,7502,11,None,"[<telethon.tl.types.ReactionCount object at 0x0000021F5268C250>, <telethon.tl.types.ReactionCount object at 0x0000021F5268C2D0>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4563,,2024-09-25 08:34:27+00:00,photos\@modernshoppingcenter_4563.jpg,-1001649695480,7863,8,None,None,0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4562,,2024-09-25 08:34:27+00:00,photos\@modernshoppingcenter_4562.jpg,-1001649695480,8008,8,None,None,0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4561,,2024-09-25 08:34:27+00:00,photos\@modernshoppingcenter_4561.jpg,-1001649695480,7953,8,None,None,0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4560,,2024-09-25 08:34:27+00:00,photos\@modernshoppingcenter_4560.jpg,-1001649695480,7354,8,None,None,0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4559,"ቴሌግራም👉t.me/modernshoppingcenter
     ""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

✅ toilet seat cover
✅ የሽንት ቤት መቀመጫ ከቨር ልብስ
✅ እንዳይቀዘቅዝ መከላከያ
✅ በተለይ ለትልልቅ ሰዎች፣ለህፃናት ተመራጭ
✅ለማፅዳት በጣም ቀላል
✅በዚፕ የሚዘጋ
✅  ለአጠቃቀም ቀላል 

       በ👇
   💸650✅ 

🤳0924743736
🤳0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 👇
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የቴሌግራም አድራሻ ይላኩልን 

t.me/modernshopping1
t.me/modernshopping2 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ """,2024-09-25 08:34:27+00:00,,-1001649695480,7272,8,None,"[<telethon.tl.types.ReactionCount object at 0x0000021F5268D710>, <telethon.tl.types.ReactionCount object at 0x0000021F5268D790>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4554,,2024-09-24 17:46:05+00:00,,-1001649695480,8694,9,None,None,0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4553,,2024-09-24 17:46:05+00:00,photos\@modernshoppingcenter_4553.jpg,-1001649695480,8908,9,None,None,0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4552,"ቴሌግራም👉t.me/modernshoppingcenter
     ""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

✅ ስመ ገናናዉ Sanford electric pressure cooker
✅ ዘመናዊ የምግብ ማብሰያ
✅ ሾርባ፣ አተክልት፣ ወጣወጥ፣ አሮስቶ፣  ሩዝ ፣ገንፎ እና መሰል ከ 10 ዓይነት በላይ ምግበችን ሰዓትና ሙቀት መጥኖ ክሽን አድርጎ ያበስልልዎታል
✅ ውስጡ non stick የሆነ 
✅ የሙቀትና የሰዓት መቆጣጠሪያ የተገጠመለት
✅ ለአጠቃቀም ቀላል 

✅በተለያየ መጠን የቀረበ 

✅ 12 ሌትር        በ👇
                    💸14,500💸 

✅  9ሌትር        በ👇
                   💸12,500💸

🤳0924743736
🤳0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 👇
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የቴሌግራም አድራሻ ይላኩልን 

t.me/modernshopping1
t.me/modernshopping2 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ""",2024-09-24 17:46:05+00:00,photos\@modernshoppingcenter_4552.jpg,-1001649695480,8059,9,None,"[<telethon.tl.types.ReactionCount object at 0x0000021F5268E510>, <telethon.tl.types.ReactionCount object at 0x0000021F5268E590>, <telethon.tl.types.ReactionCount object at 0x0000021F5268E610>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4551,,2024-09-24 10:49:14+00:00,photos\@modernshoppingcenter_4551.jpg,-1001649695480,9320,5,None,None,0
